target,model_variant,seed,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
GripLost,1d_cnn_19_raw,43,9,6,6,1.0,20,6,0.3,0.6845483160010599,0.4567901234567901,0.4625,0.45962732919254656,0.48922660354105124
GripLost,1d_cnn_19_raw,44,9,6,5,0.8333333333333334,20,4,0.2,0.6715773092741487,0.5087719298245614,0.3625,0.4233576642335766,0.4916418618274424
GripLost,1d_cnn_19_raw,42,10,6,6,1.0,21,16,0.7619047619047619,0.5672593616486554,0.21299638989169675,0.855072463768116,0.34104046242774566,0.5221946289713565
GripLost,1d_cnn_19_raw,43,10,6,5,0.8333333333333334,21,14,0.6666666666666666,0.6210999886704602,0.2597402597402597,0.5797101449275363,0.35874439461883406,0.47895694855417714
GripLost,1d_cnn_19_raw,44,10,6,6,1.0,21,12,0.5714285714285714,0.5740768067802462,0.21370967741935484,0.7681159420289855,0.334384858044164,0.4747326568928351
System_Failure,lstm_autoencoder_19_raw_q90,42,1,7,0,0.0,17,4,0.23529411764705882,0.4147339699863574,0.0,0.0,0.0,0.1950826062515808
System_Failure,lstm_autoencoder_19_raw_q95,42,1,7,0,0.0,17,1,0.058823529411764705,0.417910447761194,0.0,0.0,0.0,0.1950826062515808
System_Failure,lstm_autoencoder_19_raw_q97.5,42,1,7,0,0.0,17,1,0.058823529411764705,0.4186991869918699,0.0,0.0,0.0,0.1950826062515808
ProtectiveStop,lstm_autoencoder_19_raw_q90,42,1,2,0,0.0,22,4,0.18181818181818182,0.4787363304981774,0.0,0.0,0.0,0.05460611739254269
ProtectiveStop,lstm_autoencoder_19_raw_q95,42,1,2,0,0.0,22,1,0.045454545454545456,0.48125755743651755,0.0,0.0,0.0,0.05460611739254269
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,42,1,2,0,0.0,22,1,0.045454545454545456,0.48188405797101447,0.0,0.0,0.0,0.05460611739254269
GripLost,lstm_autoencoder_19_raw_q90,42,1,5,0,0.0,19,4,0.21052631578947367,0.4355263157894737,0.0,0.0,0.0,0.14761213715441424
GripLost,lstm_autoencoder_19_raw_q95,42,1,5,0,0.0,19,1,0.05263157894736842,0.43848167539267013,0.0,0.0,0.0,0.14761213715441424
GripLost,lstm_autoencoder_19_raw_q97.5,42,1,5,0,0.0,19,1,0.05263157894736842,0.4392156862745098,0.0,0.0,0.0,0.14761213715441424
System_Failure,lstm_autoencoder_19_raw_q90,43,1,7,0,0.0,17,4,0.23529411764705882,0.4147339699863574,0.0,0.0,0.0,0.18783828768264962
System_Failure,lstm_autoencoder_19_raw_q95,43,1,7,0,0.0,17,1,0.058823529411764705,0.4186991869918699,0.0,0.0,0.0,0.18783828768264962
System_Failure,lstm_autoencoder_19_raw_q97.5,43,1,7,0,0.0,17,1,0.058823529411764705,0.4186991869918699,0.0,0.0,0.0,0.18783828768264962
ProtectiveStop,lstm_autoencoder_19_raw_q90,43,1,2,0,0.0,22,4,0.18181818181818182,0.4787363304981774,0.0,0.0,0.0,0.05205860103841538
ProtectiveStop,lstm_autoencoder_19_raw_q95,43,1,2,0,0.0,22,1,0.045454545454545456,0.48188405797101447,0.0,0.0,0.0,0.05205860103841538
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,43,1,2,0,0.0,22,1,0.045454545454545456,0.48188405797101447,0.0,0.0,0.0,0.05205860103841538
GripLost,lstm_autoencoder_19_raw_q90,43,1,5,0,0.0,19,4,0.21052631578947367,0.4355263157894737,0.0,0.0,0.0,0.14241415811497216
GripLost,lstm_autoencoder_19_raw_q95,43,1,5,0,0.0,19,1,0.05263157894736842,0.4392156862745098,0.0,0.0,0.0,0.14241415811497216
GripLost,lstm_autoencoder_19_raw_q97.5,43,1,5,0,0.0,19,1,0.05263157894736842,0.4392156862745098,0.0,0.0,0.0,0.14241415811497216
